,SN,HSOH1824,HSOHO25,BOHO25,WHITE,BLACK,UEO16,LT1WH,MIH,NHIP,PF,PP,CIPERTHOUSAND,ABOLISHDP
34,North-Dakota14,0.891,0.922,0.27399999999999997,0.8691993564806775,0.02165739503311138,0.03,0.063,0.79136,0.079,0.07400000000000001,0.115,0.026225793592514108,1
35,Ohio14,0.863,0.894,0.266,0.8036585882919183,0.12336027125153466,0.07200000000000001,0.08199999999999999,0.66252,0.084,0.11599999999999999,0.158,0.0504547457209185,0
36,Oklahoma14,0.834,0.873,0.242,0.6858848536092276,0.07369069834967414,0.057,0.079,0.64584,0.154,0.122,0.166,0.06699118655746647,0
37,Oregon14,0.864,0.897,0.308,0.7988905501245158,0.018676530847215815,0.078,0.073,0.6921,0.09699999999999999,0.11,0.166,0.02667503127084991,0
38,Pennsylvania14,0.88,0.894,0.29,0.7911126337115625,0.10886178158883339,0.07,0.071,0.73112,0.085,0.094,0.136,0.06215902379996651,0
39,Rhode-Island14,0.888,0.858,0.304,0.7728124587222434,0.0569650323337367,0.078,0.084,0.77146,0.07400000000000001,0.1,0.14300000000000002,0.032042989824570565,1
40,South-Carolina14,0.855,0.861,0.263,0.6497292615724783,0.266790920825837,0.081,0.085,0.61903,0.136,0.132,0.18,0.08962872899526728,0
41,South-Dakota14,0.84,0.917,0.278,0.8370382985829272,0.01572746244313753,0.039,0.066,0.6658,0.098,0.094,0.142,0.031138970109702593,0
42,Tennessee14,0.871,0.858,0.253,0.7531261036406123,0.16305057258834033,0.078,0.09,0.62734,0.12,0.13699999999999998,0.183,0.08186647656769853,0
43,Texas14,0.837,0.8220000000000001,0.278,0.6156046227463147,0.1199810423709321,0.061,0.073,0.75557,0.191,0.134,0.172,0.06516768557745878,0
44,Utah14,0.859,0.914,0.311,0.8281496178568802,0.011323106134883265,0.05,0.049,0.77413,0.125,0.085,0.11699999999999999,0.034849140036115486,0
45,Vermont14,0.914,0.92,0.349,0.9307705025357395,0.011664433293913435,0.055,0.061,0.69973,0.05,0.087,0.122,0.021792880464069485,1
46,Virginia14,0.892,0.885,0.36700000000000005,0.651343975448178,0.190699027753161,0.061,0.059000000000000004,0.88457,0.109,0.083,0.11800000000000001,0.054809350165480886,0
47,Washington14,0.848,0.904,0.331,0.7264723972016555,0.03752386383365508,0.065,0.062,0.81218,0.092,0.08800000000000001,0.132,0.03755351146398792,0
48,West-Virginia14,0.858,0.852,0.192,0.9229258592493188,0.03509550300259752,0.069,0.099,0.54877,0.086,0.131,0.183,0.050438748955440774,1
49,Wisconsin14,0.889,0.914,0.284,0.8382196596455249,0.06343354850186808,0.053,0.057999999999999996,0.68953,0.073,0.09,0.132,0.03813316189860078,1
50,Wyoming14,0.88,0.9259999999999999,0.266,0.8825854783482975,0.008685992308179064,0.043,0.053,0.72305,0.12,0.07400000000000001,0.11199999999999999,0.03136277999681892,0
51,Alabama10,0.801,0.821,0.21899999999999997,0.6852667176597201,0.2617950029039261,0.11800000000000001,0.10800000000000001,0.55778,0.146,0.147,0.19,0.05233063095397918,0
52,Alaska10,0.812,0.91,0.27899999999999997,0.6667915086781625,0.032754132106314705,0.096,0.042,0.8129,0.19899999999999998,0.07200000000000001,0.099,0.07229832572298325,1
53,Arizona10,0.804,0.856,0.259,0.7301484022961766,0.04052054304611518,0.11800000000000001,0.08,0.62838,0.16899999999999998,0.125,0.174,0.0815673309036029,0
54,Arkansas10,0.7969999999999999,0.8290000000000001,0.195,0.7699904455475085,0.15428931814955016,0.096,0.098,0.52382,0.175,0.141,0.188,0.06378716620311643,0
55,California10,0.827,0.807,0.301,0.5758833773250819,0.06171349963477704,0.128,0.06,0.79465,0.185,0.11800000000000001,0.158,0.06864670142436378,0
56,Colorado10,0.846,0.897,0.364,0.8130925897499321,0.04011317117089889,0.099,0.068,0.72423,0.159,0.094,0.134,0.03769245729431501,0
57,Connecticut10,0.859,0.8859999999999999,0.355,0.7756952315507946,0.10136714252579043,0.105,0.057999999999999996,0.90074,0.091,0.07200000000000001,0.10099999999999999,0.04815726061224896,0
